name,median,low_ci,high_ci
V1,0.076001252,0.060991332,0.193774703
V10,0.16601735,0.13446639,0.398174941
V11,0.178844304,0.15034084,0.334613928
V12,0.207057345,0.175242496,0.39568443
V13,0.033226435,0.027678863,0.067286049
V14,0.181762771,0.148839802,0.394571433
V15,0.071450712,0.062464185,0.113342341
V16,0.334091388,0.280891807,0.633601592
V2,0.080183788,0.065411013,0.164741928
V3,0.051418933,0.045345301,0.082855556
V4,0.391320565,0.325809273,0.779412421
V5,0.105084483,0.087562901,0.199188769
V6,0.093597648,0.07447758,0.228290099
V7,0.036172928,0.030381571,0.070998171
V8,0.098894289,0.079557305,0.235221136
V9,0.098908591,0.08257455,0.189006089
